name,size,taskid,stage,activeView,updateId,parallel,view,count,time
airlines,100000000,77,update,Depart By slider,74,true,false,2,1.2181669999990845
airlines,100000000,78,update,Depart By slider,75,true,false,2,1.2507499999992433
airlines,100000000,79,update,Depart By slider,76,true,false,2,1.3788749999985157
airlines,100000000,80,update,Depart By slider,77,true,false,2,1.7938749999993888
airlines,100000000,81,update,Depart By slider,78,true,false,2,1.449124999999185
airlines,100000000,82,update,Depart By slider,79,true,false,2,1.4686670000010054
airlines,100000000,83,update,Depart By slider,80,true,false,2,1.3951249999990978
airlines,100000000,84,update,Depart By slider,81,true,false,2,1.3002500000002328
airlines,100000000,85,update,Depart By slider,82,true,false,2,1.2840829999986454
airlines,100000000,86,update,Depart By slider,83,true,false,2,1.307290999997349
airlines,100000000,87,update,Depart By slider,84,true,false,2,1.3056250000008731
airlines,100000000,88,update,Depart By slider,85,true,false,2,1.2971660000002885
airlines,100000000,89,update,Depart By slider,86,true,false,2,1.3425000000024738
airlines,100000000,90,update,Depart By slider,87,true,false,2,1.654833000000508
airlines,100000000,91,update,Depart By slider,88,true,false,2,1.4015419999996084
airlines,100000000,92,update,Depart By slider,89,true,false,2,1.3410000000003492
airlines,100000000,93,update,Depart By slider,90,true,false,2,1.3220000000001164
airlines,100000000,94,update,Depart By slider,91,true,false,2,1.2661250000019209
airlines,100000000,95,update,Depart By slider,92,true,false,2,1.2377500000002328
airlines,100000000,96,update,Depart By slider,93,true,false,2,1.2908749999987776
airlines,100000000,97,update,Depart By slider,94,true,false,2,1.2773330000018177
airlines,100000000,98,update,Depart By slider,95,true,false,2,1.2864579999986745
airlines,100000000,99,update,Depart By slider,96,true,false,2,1.2683749999996508
airlines,100000000,100,update,Depart By slider,97,true,false,2,1.2668330000014976
airlines,100000000,101,update,Depart By slider,98,true,false,2,1.2703329999967536
airlines,100000000,102,update,Depart By slider,99,true,false,2,1.480875000001106
airlines,100000000,103,update,Depart By slider,100,true,false,2,1.3510419999984151
airlines,100000000,104,update,Depart By slider,101,true,false,2,1.4579589999993914
airlines,100000000,105,update,Depart By slider,102,true,false,2,1.374082999998791
airlines,100000000,106,update,Depart By slider,103,true,false,2,1.340583000001061
airlines,100000000,107,update,Depart By slider,104,true,false,2,1.5378750000018044
airlines,100000000,108,update,Depart By slider,105,true,false,2,1.5224999999991269
airlines,100000000,109,update,Depart By slider,106,true,false,2,1.4113330000000133
airlines,100000000,110,update,Depart By slider,107,true,false,2,1.4323330000006536
airlines,100000000,111,update,Depart By slider,108,true,false,2,1.3793750000004366
airlines,100000000,112,update,Depart By slider,109,true,false,2,1.2870829999992566
airlines,100000000,113,update,Depart By slider,110,true,false,2,1.274333999997907
airlines,100000000,114,update,Depart By slider,111,true,false,2,1.3024579999982961
airlines,100000000,115,update,Depart By slider,112,true,false,2,1.3494580000005953
airlines,100000000,116,update,Depart By slider,113,true,false,2,1.6835419999988517
airlines,100000000,117,update,Depart By slider,114,true,false,2,1.4723749999975553
airlines,100000000,118,update,Depart By slider,115,true,false,2,1.339624999996886
airlines,100000000,119,update,Depart By slider,116,true,false,2,1.3132500000028813
airlines,100000000,120,update,Depart By slider,117,true,false,2,1.495041999998648
airlines,100000000,121,update,Depart By slider,118,true,false,2,1.4711659999993572
airlines,100000000,122,update,Depart By slider,119,true,false,2,1.3403330000001006
airlines,100000000,123,update,Depart By slider,120,true,false,2,1.3159160000031989
airlines,100000000,124,update,Depart By slider,121,true,false,2,1.2946669999982987
airlines,100000000,125,update,Depart By slider,122,true,false,2,1.3577089999998861
airlines,100000000,126,update,Depart By slider,123,true,false,2,1.6199579999993148
airlines,100000000,127,update,Depart By slider,124,true,false,2,1.293083000000479
airlines,100000000,128,update,Depart By slider,125,true,false,2,1.2548749999987194
airlines,100000000,129,update,Depart By slider,126,true,false,2,1.504625000001397
airlines,100000000,130,update,Depart By slider,127,true,false,2,1.360208000001876
airlines,100000000,131,update,Depart By slider,128,true,false,2,1.3129169999992882
airlines,100000000,132,update,Depart By slider,129,true,false,2,1.2664999999979045
airlines,100000000,133,update,Depart By slider,130,true,false,2,1.9247079999986454
airlines,100000000,134,update,Depart By slider,131,true,false,2,1.4518329999991693
airlines,100000000,135,update,Depart By slider,132,true,false,2,1.4350000000013097
airlines,100000000,136,update,Depart By slider,133,true,false,2,1.3522499999999127
airlines,100000000,137,update,Depart By slider,134,true,false,2,1.358834000002389
airlines,100000000,138,update,Depart By slider,135,true,false,2,1.3180410000022675
airlines,100000000,139,update,Depart By slider,136,true,false,2,1.2862920000006852
airlines,100000000,140,update,Depart By slider,137,true,false,2,1.3667080000013812
airlines,100000000,141,update,Depart By slider,138,true,false,2,1.3062499999978172
airlines,100000000,142,update,Depart By slider,139,true,false,2,1.2781250000007276
airlines,100000000,143,update,Depart By slider,140,true,false,2,1.7952920000025188
airlines,100000000,144,update,Depart By slider,141,true,false,2,1.4640409999992698
airlines,100000000,145,update,Depart By slider,142,true,false,2,1.3591660000020056
airlines,100000000,146,update,Depart By slider,143,true,false,2,1.284750000002532
airlines,100000000,147,update,Depart By slider,144,true,false,2,1.287000000000262
