name,size,taskid,stage,activeView,updateId,parallel,view,count,time
gaia,10000000,0,load,none,-1,true,false,1,970.9136669999989
gaia,10000000,1,init,none,-1,true,false,7,156.57500000000073
gaia,10000000,2,create,mag,-1,true,false,3,109.76766700000007
gaia,10000000,3,create,par,-1,true,false,3,127.29004199999872
gaia,10000000,4,create,sky,-1,true,false,3,152.9731670000001
gaia,10000000,5,create,hrd,-1,true,false,3,152.96895799999947
gaia,10000000,6,update,mag,0,true,false,3,1.1242080000010901
gaia,10000000,7,update,mag,1,true,false,3,0.7890840000000026
gaia,10000000,8,update,mag,2,true,false,3,1.2019579999996495
gaia,10000000,9,update,mag,3,true,false,3,1.3683340000006865
gaia,10000000,10,update,mag,4,true,false,3,1.3377920000002632
gaia,10000000,11,update,mag,5,true,false,3,1.1528330000001006
gaia,10000000,12,update,mag,6,true,false,3,1.6421250000003056
gaia,10000000,13,update,mag,7,true,false,3,1.5320000000010623
gaia,10000000,14,update,mag,8,true,false,3,1.1787500000009459
gaia,10000000,15,update,mag,9,true,false,3,1.2782079999997222
gaia,10000000,16,update,mag,10,true,false,3,1.4599579999994603
gaia,10000000,17,update,mag,11,true,false,3,1.1082919999989826
gaia,10000000,18,update,mag,12,true,false,3,1.7220420000012382
gaia,10000000,19,update,mag,13,true,false,3,1.274334000001545
gaia,10000000,20,update,mag,14,true,false,3,1.3315000000002328
gaia,10000000,21,update,mag,15,true,false,3,1.6663339999995515
gaia,10000000,22,update,mag,16,true,false,3,2.6538330000003043
gaia,10000000,23,update,mag,17,true,false,3,4.308458999999857
gaia,10000000,24,update,mag,18,true,false,3,2.0080830000006245
gaia,10000000,25,update,mag,19,true,false,3,1.6640000000006694
gaia,10000000,26,update,mag,20,true,false,3,1.9340420000007725
gaia,10000000,27,update,mag,21,true,false,3,1.6642919999994774
gaia,10000000,28,update,mag,22,true,false,3,1.8495419999999285
gaia,10000000,29,update,mag,23,true,false,3,1.7689579999987473
gaia,10000000,30,update,mag,24,true,false,3,1.528667000000496
gaia,10000000,31,update,mag,25,true,false,3,1.8189590000001772
gaia,10000000,32,update,mag,26,true,false,3,1.804374999999709
gaia,10000000,33,update,mag,27,true,false,3,1.833582999999635
gaia,10000000,34,update,mag,28,true,false,3,2.138541999998779
gaia,10000000,35,update,mag,29,true,false,3,1.6238330000014685
gaia,10000000,36,update,mag,30,true,false,3,1.8183330000010756
gaia,10000000,37,update,mag,31,true,false,3,1.824624999999287
gaia,10000000,38,update,mag,32,true,false,3,1.9876670000012382
gaia,10000000,39,update,mag,33,true,false,3,1.5678330000009737
gaia,10000000,40,update,mag,34,true,false,3,1.929374999999709
gaia,10000000,41,update,mag,35,true,false,3,1.8993329999993875
gaia,10000000,42,update,mag,36,true,false,3,2.0551660000000993
gaia,10000000,43,update,mag,37,true,false,3,2.5738750000000437
gaia,10000000,44,update,mag,38,true,false,3,1.6848750000008295
gaia,10000000,45,update,mag,39,true,false,3,1.6010000000005675
gaia,10000000,46,update,mag,40,true,false,3,1.9876669999994192
gaia,10000000,47,update,mag,41,true,false,3,1.6536249999990105
gaia,10000000,48,update,mag,42,true,false,3,2.2160000000003492
gaia,10000000,49,update,mag,43,true,false,3,1.8256250000013097
gaia,10000000,50,update,mag,44,true,false,3,1.6859580000000278
gaia,10000000,51,update,mag,45,true,false,3,1.5585410000003321
gaia,10000000,52,update,mag,46,true,false,3,1.7503749999996217
gaia,10000000,53,update,mag,47,true,false,3,2.3176669999993464
gaia,10000000,54,update,mag,48,true,false,3,2.1540420000001177
gaia,10000000,55,update,mag,49,true,false,3,2.5431250000001455
gaia,10000000,56,update,mag,50,true,false,3,1.906791000001249
gaia,10000000,57,update,mag,51,true,false,3,1.7075000000004366
gaia,10000000,58,update,mag,52,true,false,3,1.8084170000001905
gaia,10000000,59,update,mag,53,true,false,3,2.0902919999989535
gaia,10000000,60,update,mag,54,true,false,3,2.189249999999447
gaia,10000000,61,update,mag,55,true,false,3,1.903666999998677
gaia,10000000,62,update,mag,56,true,false,3,2.377249999999549
gaia,10000000,63,update,mag,57,true,false,3,1.6880419999997684
gaia,10000000,64,update,mag,58,true,false,3,2.0774160000000848
gaia,10000000,65,update,mag,59,true,false,3,2.0957089999992604
gaia,10000000,66,update,mag,60,true,false,3,1.5634579999987182
gaia,10000000,67,update,mag,61,true,false,3,1.8901659999992262
gaia,10000000,68,update,mag,62,true,false,3,1.8070829999996931
gaia,10000000,69,update,mag,63,true,false,3,2.2138340000001335
