condition,name,size,taskid,stage,activeView,updateId,parallel,view,count,time
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,1204.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,590.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,573.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,541.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,504.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,496.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,494.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,519.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,571.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,564.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,467.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,561.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,570.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,467.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,564.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,565.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,473.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,479.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,558.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,471.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,493.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,571.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,480.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,567.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,496.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,512.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,489.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,502.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,583.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,599.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,490.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,597.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,495.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,467.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,477.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,485.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,490.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,565.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,478.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,567.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,464.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,465.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,460.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,466.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,466.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,457.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,565.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,486.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,482.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,486.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,476.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,486.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,488.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,469.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,578.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,568.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,469.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,578.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,466.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,566.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,556.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,463.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,469.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,473.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,475.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,465.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,488.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,571.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,462.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,470.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,564.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,480.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,469.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,473.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,482.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,486.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,485.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,489.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,564.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,482.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,552.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,487.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,472.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,480.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,563.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,468.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,553.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,566.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,477.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,564.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,473.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,571.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,566.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,567.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,566.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,488.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,487.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,487.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,482.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,541.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,566.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,573.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,564.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,482.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,471.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,471.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,543.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,570.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,492.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,568.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,468.8
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,487.3
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,568.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,492.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,494.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,505.6
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,475.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,480.5
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,499.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,513.2
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,499.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,564.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,551.7
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,489.9
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,471.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,486.0
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,477.4
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,484.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,489.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,571.1
vegaFusion,flights,500000,-1,update,none,-1,false,false,1,569.5
